Episode=144, Total reward=63.19, Steps=11227, Training iteration=0
Episode=145, Total reward=32.96, Steps=11282, Training iteration=0
Episode=146, Total reward=27.65, Steps=11325, Training iteration=0
Episode=147, Total reward=141.52, Steps=11509, Training iteration=0
Episode=148, Total reward=132.33, Steps=11689, Training iteration=0
Episode=149, Total reward=127.82, Steps=11840, Training iteration=0
Episode=150, Total reward=327.34, Steps=12209, Training iteration=0
Episode=151, Total reward=97.08, Steps=12322, Training iteration=0
Episode=152, Total reward=283.93, Steps=12629, Training iteration=0
Episode=153, Total reward=317.44, Steps=12982, Training iteration=0
Episode=154, Total reward=31.0, Steps=13026, Training iteration=0
Episode=155, Total reward=216.22, Steps=13273, Training iteration=0
Episode=156, Total reward=202.35, Steps=13512, Training iteration=0
Episode=157, Total reward=161.2, Steps=13718, Training iteration=0
Episode=158, Total reward=93.61, Steps=13828, Training iteration=0
Episode=159, Total reward=166.54, Steps=14020, Training iteration=0
Episode=160, Total reward=126.5, Steps=14172, Training iteration=0
